,FPR,TPR,AUC,attack_name
0,0.0,0.0,0.5997999999999999,membership inference
1,0.0,0.06,0.5997999999999999,membership inference
2,0.02,0.13,0.5997999999999999,membership inference
3,0.04,0.17,0.5997999999999999,membership inference
4,0.08,0.18,0.5997999999999999,membership inference
5,0.1,0.22,0.5997999999999999,membership inference
6,0.12,0.23,0.5997999999999999,membership inference
7,0.16,0.25,0.5997999999999999,membership inference
8,0.16,0.3,0.5997999999999999,membership inference
9,0.16,0.32,0.5997999999999999,membership inference
10,0.16,0.33,0.5997999999999999,membership inference
11,0.16,0.35,0.5997999999999999,membership inference
12,0.18,0.38,0.5997999999999999,membership inference
13,0.18,0.41,0.5997999999999999,membership inference
14,0.2,0.41,0.5997999999999999,membership inference
15,0.2,0.42,0.5997999999999999,membership inference
16,0.22,0.42,0.5997999999999999,membership inference
17,0.22,0.44,0.5997999999999999,membership inference
18,0.24,0.44,0.5997999999999999,membership inference
19,0.28,0.44,0.5997999999999999,membership inference
20,0.3,0.45,0.5997999999999999,membership inference
21,0.32,0.45,0.5997999999999999,membership inference
22,0.32,0.46,0.5997999999999999,membership inference
23,0.34,0.46,0.5997999999999999,membership inference
24,0.36,0.47,0.5997999999999999,membership inference
25,0.38,0.47,0.5997999999999999,membership inference
26,0.4,0.48,0.5997999999999999,membership inference
27,0.42,0.48,0.5997999999999999,membership inference
28,0.42,0.49,0.5997999999999999,membership inference
29,0.46,0.49,0.5997999999999999,membership inference
30,0.46,0.5,0.5997999999999999,membership inference
31,0.5,0.5,0.5997999999999999,membership inference
32,0.5,0.51,0.5997999999999999,membership inference
33,0.52,0.51,0.5997999999999999,membership inference
34,0.54,0.54,0.5997999999999999,membership inference
35,0.54,0.55,0.5997999999999999,membership inference
36,0.54,0.59,0.5997999999999999,membership inference
37,0.54,0.62,0.5997999999999999,membership inference
38,0.54,0.64,0.5997999999999999,membership inference
39,0.56,0.64,0.5997999999999999,membership inference
40,0.58,0.66,0.5997999999999999,membership inference
41,0.58,0.68,0.5997999999999999,membership inference
42,0.6,0.7,0.5997999999999999,membership inference
43,0.6,0.73,0.5997999999999999,membership inference
44,0.62,0.75,0.5997999999999999,membership inference
45,0.62,0.76,0.5997999999999999,membership inference
46,0.66,0.76,0.5997999999999999,membership inference
47,0.7,0.78,0.5997999999999999,membership inference
48,0.7,0.82,0.5997999999999999,membership inference
49,0.7,0.83,0.5997999999999999,membership inference
50,0.72,0.83,0.5997999999999999,membership inference
51,0.72,0.84,0.5997999999999999,membership inference
52,0.74,0.84,0.5997999999999999,membership inference
53,0.76,0.85,0.5997999999999999,membership inference
54,0.78,0.85,0.5997999999999999,membership inference
55,0.78,0.86,0.5997999999999999,membership inference
56,0.78,0.9,0.5997999999999999,membership inference
57,0.82,0.91,0.5997999999999999,membership inference
58,0.82,0.92,0.5997999999999999,membership inference
59,0.82,0.94,0.5997999999999999,membership inference
60,0.82,0.95,0.5997999999999999,membership inference
61,0.88,0.95,0.5997999999999999,membership inference
62,0.88,0.97,0.5997999999999999,membership inference
63,0.92,0.97,0.5997999999999999,membership inference
64,0.92,0.99,0.5997999999999999,membership inference
65,0.98,0.99,0.5997999999999999,membership inference
66,0.98,1.0,0.5997999999999999,membership inference
67,1.0,1.0,0.5997999999999999,membership inference
